city_id,city_name,quarter,quarter_label,price_composite,price_lt60sqm,price_60to110sqm,price_gt110sqm
49.0,Patna,25-26 Q1,Jun 2025,7111.0,5542.0,7214.0,7340.0
49.0,Patna,25-26 Q2,Sep 2025,6964.0,6627.0,7370.0,6265.0
49.0,Patna,25-26 Q3,Dec 2025,7050.0,7316.0,7453.0,6194.0
49.0,Patna,25-26 Q4,Mar 2026,7231.0,7097.0,7649.0,6456.0
69.0,Guwahati,25-26 Q1,Jun 2025,6103.0,6240.0,6137.0,5806.0
69.0,Guwahati,25-26 Q2,Sep 2025,6090.0,6786.0,5949.0,5845.0
69.0,Guwahati,25-26 Q3,Dec 2025,6528.0,7161.0,6329.0,6593.0
69.0,Guwahati,25-26 Q4,Mar 2026,6684.0,6837.0,6665.0,6580.0
157.0,Bidhan Nagar (Excluding Rajarhat),25-26 Q1,Jun 2025,6331.0,5601.0,6602.0,8227.0
157.0,Bidhan Nagar (Excluding Rajarhat),25-26 Q2,Sep 2025,5516.0,5232.0,5552.0,6695.0
157.0,Bidhan Nagar (Excluding Rajarhat),25-26 Q3,Dec 2025,6521.0,5648.0,6667.0,9918.0
157.0,Bidhan Nagar (Excluding Rajarhat),25-26 Q4,Mar 2026,6353.0,5640.0,6458.0,9217.0
129.0,Howrah,25-26 Q1,Jun 2025,4451.0,4335.0,4205.0,6660.0
129.0,Howrah,25-26 Q2,Sep 2025,4302.0,4350.0,4192.0,4486.0
129.0,Howrah,25-26 Q3,Dec 2025,4405.0,4430.0,4559.0,3400.0
129.0,Howrah,25-26 Q4,Mar 2026,4660.0,4350.0,5072.0,5000.0
27.0,Kolkata,25-26 Q1,Jun 2025,8258.0,6304.0,7579.0,15855.0
27.0,Kolkata,25-26 Q2,Sep 2025,7634.0,6133.0,7532.0,12313.0
27.0,Kolkata,25-26 Q3,Dec 2025,9096.0,6561.0,8734.0,17525.0
27.0,Kolkata,25-26 Q4,Mar 2026,8538.0,6294.0,8375.0,15568.0
130.0,New Town Kolkata,25-26 Q1,Jun 2025,8029.0,8005.0,7565.0,9509.0
130.0,New Town Kolkata,25-26 Q2,Sep 2025,8027.0,7636.0,8148.0,8357.0
130.0,New Town Kolkata,25-26 Q3,Dec 2025,8765.0,7917.0,8671.0,10583.0
130.0,New Town Kolkata,25-26 Q4,Mar 2026,8911.0,8252.0,8826.0,10358.0
139.0,Ranchi,25-26 Q1,Jun 2025,5337.0,6600.0,5597.0,5000.0
139.0,Ranchi,25-26 Q2,Sep 2025,5534.0,4219.0,5758.0,5433.0
139.0,Ranchi,25-26 Q3,Dec 2025,5833.0,5476.0,5866.0,5832.0
139.0,Ranchi,25-26 Q4,Mar 2026,5940.0,4219.0,6300.0,5747.0
51.0,Bhubaneswar,25-26 Q1,Jun 2025,9243.0,9552.0,9586.0,8697.0
51.0,Bhubaneswar,25-26 Q2,Sep 2025,8968.0,7171.0,9230.0,9133.0
51.0,Bhubaneswar,25-26 Q3,Dec 2025,9297.0,8851.0,10356.0,8015.0
51.0,Bhubaneswar,25-26 Q4,Mar 2026,9129.0,7696.0,9748.0,8714.0
47.0,Raipur,25-26 Q1,Jun 2025,3150.0,1920.0,3759.0,5040.0
47.0,Raipur,25-26 Q2,Sep 2025,3503.0,2607.0,4099.0,4599.0
47.0,Raipur,25-26 Q3,Dec 2025,3818.0,3171.0,4175.0,4744.0
47.0,Raipur,25-26 Q4,Mar 2026,3905.0,2775.0,4608.0,5380.0
50.0,Bhopal,25-26 Q1,Jun 2025,4593.0,4345.0,4670.0,5109.0
50.0,Bhopal,25-26 Q2,Sep 2025,4343.0,4198.0,4507.0,4165.0
50.0,Bhopal,25-26 Q3,Dec 2025,4898.0,4315.0,5040.0,6246.0
50.0,Bhopal,25-26 Q4,Mar 2026,4733.0,4294.0,4979.0,5199.0
36.0,Indore,25-26 Q1,Jun 2025,4577.0,4080.0,4891.0,6000.0
36.0,Indore,25-26 Q2,Sep 2025,4651.0,4107.0,5116.0,5765.0
36.0,Indore,25-26 Q3,Dec 2025,5160.0,4493.0,5653.0,6803.0
36.0,Indore,25-26 Q4,Mar 2026,5202.0,4800.0,5455.0,6360.0
28.0,Ahmedabad,25-26 Q1,Jun 2025,7716.0,7118.0,8104.0,8873.0
28.0,Ahmedabad,25-26 Q2,Sep 2025,7807.0,7019.0,8396.0,9000.0
28.0,Ahmedabad,25-26 Q3,Dec 2025,7988.0,7114.0,8576.0,9592.0
28.0,Ahmedabad,25-26 Q4,Mar 2026,8137.0,7292.0,8700.0,9706.0
96.0,Gandhinagar,25-26 Q1,Jun 2025,7717.0,7294.0,7567.0,10200.0
96.0,Gandhinagar,25-26 Q2,Sep 2025,7788.0,7388.0,7787.0,9380.0
96.0,Gandhinagar,25-26 Q3,Dec 2025,7617.0,7197.0,7522.0,9792.0
96.0,Gandhinagar,25-26 Q4,Mar 2026,7912.0,7353.0,7975.0,9785.0
58.0,Rajkot,25-26 Q1,Jun 2025,6218.0,5928.0,6583.0,7028.0
58.0,Rajkot,25-26 Q2,Sep 2025,6208.0,6000.0,6463.0,6812.0
58.0,Rajkot,25-26 Q3,Dec 2025,6172.0,5879.0,6433.0,7342.0
58.0,Rajkot,25-26 Q4,Mar 2026,6354.0,5880.0,6808.0,8139.0
39.0,Surat,25-26 Q1,Jun 2025,5967.0,4859.0,6569.0,9482.0
39.0,Surat,25-26 Q2,Sep 2025,6008.0,5081.0,6700.0,8401.0
39.0,Surat,25-26 Q3,Dec 2025,6418.0,5367.0,6924.0,9950.0
39.0,Surat,25-26 Q4,Mar 2026,6628.0,5520.0,7183.0,10288.0
40.0,Vadodara,25-26 Q1,Jun 2025,5058.0,4797.0,5232.0,6000.0
40.0,Vadodara,25-26 Q2,Sep 2025,5182.0,4942.0,5300.0,6244.0
40.0,Vadodara,25-26 Q3,Dec 2025,5291.0,5018.0,5451.0,6379.0
40.0,Vadodara,25-26 Q4,Mar 2026,5287.0,5018.0,5416.0,6504.0
131.0,Chakan,25-26 Q1,Jun 2025,5410.0,5510.0,4773.0,4615.0
131.0,Chakan,25-26 Q2,Sep 2025,5692.0,5826.0,4630.0,7364.0
131.0,Chakan,25-26 Q3,Dec 2025,5681.0,5808.0,4920.0,3998.0
131.0,Chakan,25-26 Q4,Mar 2026,5508.0,5589.0,4932.0,5600.0
118.0,Kalyan Dombivali,25-26 Q1,Jun 2025,10038.0,10196.0,9335.0,10522.0
118.0,Kalyan Dombivali,25-26 Q2,Sep 2025,9932.0,10173.0,9000.0,9000.0
118.0,Kalyan Dombivali,25-26 Q3,Dec 2025,10467.0,10325.0,10907.0,12369.0
118.0,Kalyan Dombivali,25-26 Q4,Mar 2026,9764.0,9703.0,9925.0,10888.0
119.0,Mira Bhayander,25-26 Q1,Jun 2025,14519.0,14500.0,15000.0,9412.0
119.0,Mira Bhayander,25-26 Q2,Sep 2025,14809.0,14859.0,14691.0,11645.0
119.0,Mira Bhayander,25-26 Q3,Dec 2025,15794.0,15460.0,17956.0,17079.0
119.0,Mira Bhayander,25-26 Q4,Mar 2026,15789.0,15503.0,17641.0,16785.0
1.0,Mumbai,25-26 Q1,Jun 2025,27293.0,25833.0,29750.0,31452.0
1.0,Mumbai,25-26 Q2,Sep 2025,26697.0,25208.0,28350.0,33881.0
1.0,Mumbai,25-26 Q3,Dec 2025,28650.0,27000.0,30728.0,35764.0
1.0,Mumbai,25-26 Q4,Mar 2026,29407.0,27046.0,32408.0,39494.0
19.0,Nagpur,25-26 Q1,Jun 2025,6615.0,6774.0,6469.0,6439.0
19.0,Nagpur,25-26 Q2,Sep 2025,6980.0,7000.0,7036.0,6713.0
19.0,Nagpur,25-26 Q3,Dec 2025,7229.0,6770.0,7632.0,7800.0
19.0,Nagpur,25-26 Q4,Mar 2026,7604.0,7200.0,7481.0,9704.0
32.0,Nashik,25-26 Q1,Jun 2025,4871.0,4600.0,5036.0,5601.0
32.0,Nashik,25-26 Q2,Sep 2025,4914.0,4690.0,5000.0,5844.0
32.0,Nashik,25-26 Q3,Dec 2025,4943.0,4726.0,5040.0,5758.0
32.0,Nashik,25-26 Q4,Mar 2026,5118.0,4800.0,5244.0,6409.0
120.0,Navi Mumbai,25-26 Q1,Jun 2025,18979.0,18053.0,22214.0,20863.0
120.0,Navi Mumbai,25-26 Q2,Sep 2025,14010.0,11700.0,21834.0,19850.0
120.0,Navi Mumbai,25-26 Q3,Dec 2025,20028.0,18727.0,24000.0,25350.0
120.0,Navi Mumbai,25-26 Q4,Mar 2026,21076.0,19987.0,24982.0,22824.0
121.0,Panvel,25-26 Q1,Jun 2025,12883.0,12642.0,14627.0,10724.0
121.0,Panvel,25-26 Q2,Sep 2025,12832.0,12403.0,15050.0,14732.0
121.0,Panvel,25-26 Q3,Dec 2025,13410.0,12878.0,17072.0,9850.0
121.0,Panvel,25-26 Q4,Mar 2026,12856.0,12136.0,16342.0,17513.0
132.0,Pimpri Chinchwad,25-26 Q1,Jun 2025,6999.0,6963.0,7035.0,7199.0
132.0,Pimpri Chinchwad,25-26 Q2,Sep 2025,6902.0,7062.0,6702.0,6800.0
132.0,Pimpri Chinchwad,25-26 Q3,Dec 2025,7434.0,7446.0,7438.0,7057.0
132.0,Pimpri Chinchwad,25-26 Q4,Mar 2026,7359.0,7146.0,7516.0,9556.0
2.0,Pune,25-26 Q1,Jun 2025,10368.0,8711.0,11022.0,13608.0
2.0,Pune,25-26 Q2,Sep 2025,9914.0,8195.0,10822.0,12425.0
2.0,Pune,25-26 Q3,Dec 2025,10465.0,8916.0,11152.0,13214.0
2.0,Pune,25-26 Q4,Mar 2026,10723.0,9042.0,11214.0,14653.0
122.0,Thane,25-26 Q1,Jun 2025,18285.0,17439.0,19976.0,21332.0
122.0,Thane,25-26 Q2,Sep 2025,17802.0,16934.0,19778.0,19518.0
122.0,Thane,25-26 Q3,Dec 2025,19504.0,18236.0,22173.0,23299.0
122.0,Thane,25-26 Q4,Mar 2026,19339.0,18466.0,20857.0,23785.0
123.0,Vasai Virar,25-26 Q1,Jun 2025,8716.0,8772.0,7500.0,6000.0
123.0,Vasai Virar,25-26 Q2,Sep 2025,8625.0,8656.0,7800.0,11434.0
123.0,Vasai Virar,25-26 Q3,Dec 2025,8818.0,8858.0,8040.0,5169.0
123.0,Vasai Virar,25-26 Q4,Mar 2026,8982.0,9033.0,7826.0,7997.0
70.0,Vijayawada,25-26 Q1,Jun 2025,5365.0,5395.0,5041.0,6138.0
70.0,Vijayawada,25-26 Q2,Sep 2025,5343.0,5262.0,5115.0,5996.0
70.0,Vijayawada,25-26 Q3,Dec 2025,5337.0,5114.0,5121.0,6113.0
70.0,Vijayawada,25-26 Q4,Mar 2026,5666.0,5827.0,5499.0,5909.0
65.0,Vizag,25-26 Q1,Jun 2025,6070.0,5752.0,5712.0,7373.0
65.0,Vizag,25-26 Q2,Sep 2025,6110.0,6000.0,5980.0,6579.0
65.0,Vizag,25-26 Q3,Dec 2025,6103.0,5648.0,5726.0,7596.0
65.0,Vizag,25-26 Q4,Mar 2026,5977.0,5250.0,5922.0,6849.0
23.0,Bengaluru,25-26 Q1,Jun 2025,10407.0,10983.0,9608.0,11777.0
23.0,Bengaluru,25-26 Q2,Sep 2025,11457.0,11065.0,10671.0,13085.0
23.0,Bengaluru,25-26 Q3,Dec 2025,12215.0,12086.0,11134.0,14333.0
23.0,Bengaluru,25-26 Q4,Mar 2026,12301.0,11106.0,11049.0,15063.0
41.0,Kochi,25-26 Q1,Jun 2025,7016.0,8639.0,6136.0,7387.0
41.0,Kochi,25-26 Q2,Sep 2025,6908.0,6755.0,6580.0,7299.0
41.0,Kochi,25-26 Q3,Dec 2025,9365.0,10728.0,7821.0,10515.0
41.0,Kochi,25-26 Q4,Mar 2026,10178.0,11335.0,8086.0,11965.0
141.0,Thiruvananthapuram,25-26 Q1,Jun 2025,7648.0,9966.0,7273.0,7557.0
141.0,Thiruvananthapuram,25-26 Q2,Sep 2025,7603.0,6000.0,8599.0,6535.0
141.0,Thiruvananthapuram,25-26 Q3,Dec 2025,7801.0,10473.0,7467.0,7546.0
141.0,Thiruvananthapuram,25-26 Q4,Mar 2026,8074.0,7086.0,8457.0,7770.0
26.0,Chennai,25-26 Q1,Jun 2025,9798.0,8918.0,9490.0,11448.0
26.0,Chennai,25-26 Q2,Sep 2025,9774.0,9171.0,9376.0,11306.0
26.0,Chennai,25-26 Q3,Dec 2025,10851.0,9603.0,10437.0,13144.0
26.0,Chennai,25-26 Q4,Mar 2026,10459.0,9819.0,10006.0,12152.0
45.0,Coimbatore,25-26 Q1,Jun 2025,7820.0,8878.0,7316.0,7840.0
45.0,Coimbatore,25-26 Q2,Sep 2025,7415.0,8145.0,6958.0,7560.0
45.0,Coimbatore,25-26 Q3,Dec 2025,7508.0,7217.0,8292.0,6725.0
45.0,Coimbatore,25-26 Q4,Mar 2026,7568.0,7849.0,7623.0,7346.0
18.0,Hyderabad,25-26 Q1,Jun 2025,8265.0,6484.0,7501.0,9645.0
18.0,Hyderabad,25-26 Q2,Sep 2025,8185.0,6295.0,7477.0,9500.0
18.0,Hyderabad,25-26 Q3,Dec 2025,8512.0,6376.0,7547.0,10235.0
18.0,Hyderabad,25-26 Q4,Mar 2026,8561.0,6605.0,7591.0,10264.0
